,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
46,2019 Hyundai Venue SX Plus Turbo DCT BSIV,2019,Petrol,"41,226 Kms",998 cc,Second Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 10.13 Lakh
47,2015 Honda Jazz 1.2 V i VTEC,2015,Petrol,"25,576 Kms",1199 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.83 Lakh
48,2012 Hyundai i20 Magna Optional 1.2,2012,Petrol,"63,569 Kms",1197 cc,Second Owner,Manual,Power Steering,None,Heater,Fog Lights Rear,-,-,-,-,-,-,-,-,₹ 2.48 Lakh
49,2014 Hyundai i20 Sportz 1.2,2014,Petrol,"1,27,073 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.43 Lakh
50,2016 Maruti Alto 800 LXI,2016,Petrol,"22,684 Kms",796 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.67 Lakh
51,2019 Tata Harrier XT BSIV,2019,Diesel,"58,524 Kms",1956 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 13.89 Lakh
52,2020 Tata Altroz XZ,2020,Petrol,"60,101 Kms",1199 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.90 Lakh
53,2017 Hyundai Xcent 1.2 VTVT E Plus,2017,Petrol,"17,090 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.98 Lakh
54,2018 Honda City i-VTEC V,2018,Petrol,"35,233 Kms",1497 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.55 Lakh
55,2021 Tata Altroz XZ,2021,Petrol,"5,599 Kms",1199 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.83 Lakh
56,2020 Toyota Yaris G,2020,Petrol,"37,103 Kms",1496 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 9.12 Lakh
