,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
179,2011 Ford Figo Petrol EXI,2011,Petrol,"75,612 Kms",1196 cc,Third Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 1.68 Lakh
180,2016 Hyundai i20 Sportz 1.2,2016,Petrol,"39,331 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.56 Lakh
181,2020 MG Hector Plus Sharp Hybrid MT,2020,Petrol,"34,640 Kms",1451 cc,First Owner,Manual,Power Windows Front,None,Leather Steering Wheel,Fog Lights Front,-,-,-,-,-,-,-,-,₹ 15.12 Lakh
182,2021 Ford Endeavour Titanium Plus 4X2 AT,2021,Diesel,"57,000 Kms",1996 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 36.75 Lakh
183,2013 Mahindra XUV500 W8 2WD,2013,Diesel,"1,10,000 Kms",2179 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8 Lakh
184,2017 Renault Duster Petrol RXS CVT,2017,Petrol,"33,260 Kms",1498 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.75 Lakh
185,2018 Maruti Baleno 1.2 Zeta,2018,Petrol,"40,610 Kms",1197 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.80 Lakh
186,2013 Mahindra XUV500 W8 AWD,2013,Diesel,"94,761 Kms",2179 cc,Third Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.40 Lakh
187,2018 Hyundai Creta 1.6 SX Automatic Diesel,2018,Diesel,"1,42,000 Kms",1582 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 14.90 Lakh
188,2018 Hyundai i20 1.2 Asta Option,2018,Petrol,"20,304 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.65 Lakh
189,2016 Volkswagen Polo Select 1.2 MPI Highline,2016,Petrol,"13,821 Kms",1198 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.35 Lakh
190,2017 Maruti Ignis 1.2 AMT Zeta BSIV,2017,Petrol,"22,000 Kms",1197 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.50 Lakh
191,2019 Kia Seltos GTX Plus DCT,2019,Petrol,"36,000 Kms",1353 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 16.25 Lakh
192,2020 Volkswagen Polo 1.0 TSI Comfortline,2020,Petrol,"57,000 Kms",999 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.80 Lakh
193,2015 Hyundai Verna 1.6 VTVT S Option,2015,Petrol,"16,452 Kms",1591 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.80 Lakh
194,2009 Honda Civic 1.8 V MT,2009,Petrol,"53,000 Kms",1799 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.50 Lakh
195,2017 Jeep Compass 2.0 Limited Option 4X4,2017,Diesel,"39,000 Kms",1956 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 17.25 Lakh
196,2018 Volvo XC40 D4 R-Design,2018,Diesel,"52,888 Kms",1969 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 35.50 Lakh
197,2017 Mercedes-Benz CLA 200 CGI Sport,2017,Petrol,"27,761 Kms",1991 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 27.25 Lakh
198,2019 Mercedes-Benz C-Class Progressive C 220d,2019,Diesel,"8,208 Kms",1950 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 46 Lakh
199,2018 Lexus NX 300h,2018,Petrol,"16,966 Kms",2499 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 55 Lakh
