,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
88,2012 Mahindra XUV500 W8 2WD,2012,Diesel,"1,13,299 Kms",2179 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.48 Lakh
89,2009 Toyota Corolla Altis G,2009,Petrol,"58,735 Kms",1798 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.23 Lakh
90,2015 Toyota Camry Hybrid,2015,Electric,"65,011 Kms",2494 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 13.51 Lakh
91,2021 Tata Harrier XZ Plus,2021,Diesel,"49,039 Kms",1956 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 20.69 Lakh
92,2017 Toyota Innova Crysta 2.4 VX MT 8S BSIV,2017,Diesel,"39,000 Kms",2393 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 21.50 Lakh
93,2010 Skoda Superb Elegance 1.8 TSI AT,-,5 Seats,N/A,Automatic,1798 cc,2010,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.25 Lakh
94,2012 Jaguar XJ 3.0L Portfolio LWB,2012,Diesel,"15,000 Kms",2993 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 36.50 Lakh
95,2017 Ford Figo 1.5P Titanium AT,2017,Petrol,"24,000 Kms",1499 cc,Second Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.90 Lakh
96,2017 Toyota Innova Crysta 2.4 ZX MT,2017,Diesel,"32,000 Kms",2393 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 23.50 Lakh
97,2011 Mahindra Scorpio VLX 4WD AT 7S BSIV,2011,Diesel,"90,000 Kms",2179 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.25 Lakh
98,2015 Maruti Swift Dzire VDI,2015,Diesel,"82,000 Kms",1248 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.50 Lakh
99,2016 Mercedes-Benz C-Class C 220 CDI Avantgarde,2016,Diesel,"32,000 Kms",2143 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 30.95 Lakh
100,2006 Tata Indica eV2 DL BSIII,-,5 Seats,Third Owner,2006,Manual,None,Remote Trunk Opener,None,Fabric Upholstery,Power Adjustable Exterior Rear View Mirror,-,-,-,-,-,-,-,-,"₹ 40,000"
101,2013 Honda Amaze S i-Vtech,2013,Petrol,"85,000 Kms",1198 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.35 Lakh
102,2014 Hyundai i20 Asta 1.2,2014,Petrol,"27,000 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.75 Lakh
103,2020 Hyundai Venue S,2020,Petrol,"7,879 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.99 Lakh
104,2008 Hyundai Verna Xi (Petrol),2008,Petrol,"90,215 Kms",1599 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 1.35 Lakh
105,2017 Hyundai Verna 1.6 SX VTVT,2017,Petrol,"25,480 Kms",1591 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.75 Lakh
106,2020 Tata Harrier XZA Plus Dark Edition AT 2020-2022,2020,Diesel,"27,267 Kms",1956 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 22.95 Lakh
107,2011 BMW 5 Series 520d Sedan,2011,Diesel,"48,000 Kms",1995 cc,Second Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 15.80 Lakh
108,2010 Honda City 1.5 V AT,2010,Petrol,"91,000 Kms",1497 cc,Second Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.95 Lakh
109,2018 Mahindra XUV500 W9 2WD,2018,Diesel,"39,000 Kms",2179 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 17.50 Lakh
110,2010 Honda Civic 1.8 S AT,2010,Petrol,"1,17,000 Kms",1799 cc,Third Owner,Automatic,Power Steering,None,Heater,Power Adjustable Exterior Rear View Mirror,-,-,-,-,-,-,-,-,₹ 4.25 Lakh
