,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
54,2017 Hyundai Verna,Make Year,None,"76,676 Kms",1497 cc,1st Owner,Manual,16.8 kmpl,116.4bhp,146Nm,15,5,,,,,,,,"5,58,000"
55,2017 Hyundai i20,Make Year,None,"79,719 Kms",1197 cc,1st Owner,Manual,20.36 kmpl,78.9bhp,111.7Nm,13,5,,,,,,,,"5,22,000"
56,2013 Volkswagen Polo,Make Year,None,"80,349 Kms",1373 cc,1st Owner,Manual,20.73 kmpl,91.1bhp,130Nm,15,5,,,,,,,,"5,28,000"
57,2017 Maruti Baleno,Make Year,None,"42,923 Kms",1396 cc,1st Owner,MH03,21.19 kmpl,88.73bhp,219.66nm,16,5,,,,,,,,"5,30,000"
58,2016 Skoda Rapid,Make Year,None,"56,052 Kms",1591 cc,1st Owner,Manual,15.29 kmpl,121.3bhp,151Nm,17,5,,,,,,,,"6,98,000"
59,2017 Mahindra KUV 100,Make Year,None,"21,433 Kms",1197 cc,1st Owner,Manual,18.6 kmpl,81.83bhp,114.7Nm,5,Sleek Silver,,,,,,,,"5,23,000"
60,2018 Maruti Baleno,Make Year,None,"85,554 Kms",1582 cc,1st Owner,Manual,23.9 kmpl,126.2bhp,259.9Nm,16,5,,,,,,,,"4,05,000"
61,2016 Hyundai Creta,Make Year,None,"51,051 Kms",1197 cc,1st Owner,Manual,18.6 kmpl,81.83bhp,114.7Nm,5,White,,,,,,,,"2,47,000"
62,2018 Mahindra XUV500,Make Year,None,"75,653 Kms",1198 cc,1st Owner,Manual,16.47 kmpl,73.9bhp,110Nm,15,5,,,,,,,,"5,83,000"
63,2017 Hyundai Creta,Make Year,None,"50,895 Kms",1197 cc,1st Owner,Manual,21.4 kmpl,83.1bhp,115Nm,16,5,,,,,,,,"6,40,600"
64,2019 Mahindra XUV300,Make Year,None,"17,279 Kms",1598 cc,1st Owner,Manual,15 kmpl,103.6bhp,153Nm,15,5,,,,,,,,"9,08,000"
65,2016 Hyundai Creta,Make Year,None,"34,048 Kms",1198 cc,1st Owner,Manual,18.15 kmpl,82bhp,115Nm,5,Black,,,,,,,,"5,40,000"
66,2021 Mahindra Marazzo,Make Year,None,"34,649 Kms",1197 cc,1st Owner,Manual,21.4 kmpl,83.1bhp,115Nm,16,5,,,,,,,,"7,95,000"
