,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
77,2013 Maruti Swift Dzire LXI,2013,Petrol,"36,601 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.80 Lakh
78,2021 Tata Nexon XZA Plus AMT Diesel,2021,Diesel,"34,960 Kms",1497 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 11.82 Lakh
79,2018 Jeep Compass 1.4 Sport,2018,Petrol,"29,720 Kms",1368 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 12.61 Lakh
80,2017 Maruti Alto 800 LXI,2017,Petrol,"21,939 Kms",796 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.23 Lakh
81,2014 Maruti Alto K10 2010-2014 VXI,2014,Petrol,"21,266 Kms",998 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.93 Lakh
82,2017 Mahindra TUV 300 mHAWK100 T8,2017,Diesel,"68,364 Kms",1493 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.58 Lakh
83,2015 Maruti Swift VXI,2015,Petrol,"1,14,528 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.05 Lakh
84,2016 Maruti Alto K10 VXI,2016,Petrol,"30,378 Kms",998 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.15 Lakh
85,2015 Maruti Ciaz VDi Plus SHVS,2015,Diesel,"1,19,878 Kms",1248 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.78 Lakh
86,2015 Maruti Swift VXI,2015,Petrol,"75,020 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.38 Lakh
87,2015 Maruti Alto K10 VXI,2015,Petrol,"49,289 Kms",998 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.70 Lakh
88,2017 Tata Tiago 1.2 Revotron XT,2017,Petrol,"1,28,613 Kms",1199 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.17 Lakh
89,2014 Maruti Celerio VXI,2014,Petrol,"59,536 Kms",998 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.95 Lakh
90,2014 Hyundai Xcent 1.1 CRDi SX Option,2014,Diesel,"65,003 Kms",1120 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.04 Lakh
91,2016 Renault Duster 110PS Diesel RxL AMT,2016,Diesel,"73,656 Kms",1461 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.51 Lakh
92,2015 Maruti Swift VDI BSIV,2015,Diesel,"65,145 Kms",1248 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.35 Lakh
93,2016 Hyundai i20 Magna 1.2,2016,Petrol,"52,300 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.93 Lakh
94,2014 Hyundai EON Era Plus,2014,Petrol,"76,701 Kms",814 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.28 Lakh
95,2015 Maruti Alto 800 VXI,2015,Petrol,"34,346 Kms",796 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.73 Lakh
96,2011 Toyota Etios G,2011,Petrol,"46,215 Kms",1496 cc,First Owner,Manual,17.6 kmpl,None,132Nm,15,-,-,-,-,-,-,-,-,₹ 2.63 Lakh
97,2015 Maruti Swift VXI,2015,Petrol,"48,321 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.35 Lakh
98,2017 Mahindra XUV500 W10 1.99 mHawk,2017,Diesel,"44,081 Kms",1997 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 11.24 Lakh
99,2018 Maruti Alto 800 LXI,2018,Petrol,"25,508 Kms",796 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.23 Lakh
